timestamp,level,message
2023-10-01 10:00:00,INFO,Application started
2023-10-01 10:01:00,DEBUG,Loading configuration
2023-10-01 10:02:00,INFO,Configuration loaded successfully
2023-10-01 10:03:00,WARNING,Deprecated API usage detected
2023-10-01 10:04:00,ERROR,Failed to connect to database
2023-10-01 10:05:00,INFO,Retrying database connection
2023-10-01 10:06:00,INFO,Database connection established
2023-10-01 10:07:00,DEBUG,Executing query
2023-10-01 10:08:00,INFO,Query executed successfully
2023-10-01 10:09:00,INFO,Application terminated
